lf;Category;NCP;Time.Scenario;Method
categories/04-Fut.C-45_11-Dec-cat.Reg_Method B.tif;Regulating/maintenance;Decontamination;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_11-Dec-cat.Reg_Method C.tif;Regulating/maintenance;Decontamination;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_12-Riv.ero-cat.Reg_Method A.tif;Regulating/maintenance;Riverbank erosion;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_12-Riv.ero-cat.Reg_Method B.tif;Regulating/maintenance;Riverbank erosion;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_12-Riv.ero-cat.Reg_Method C.tif;Regulating/maintenance;Riverbank erosion;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_13-Hed.cro-cat.Reg_Method A.tif;Regulating/maintenance;Hedge for crop yield;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_13-Hed.cro-cat.Reg_Method B.tif;Regulating/maintenance;Hedge for crop yield;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_13-Hed.cro-cat.Reg_Method C.tif;Regulating/maintenance;Hedge for crop yield;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_14-Red.dam-cat.Reg_Method A.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_14-Red.dam-cat.Reg_Method B.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_14-Red.dam-cat.Reg_Method C.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_15-Red.run-cat.Reg_Method A.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_15-Red.run-cat.Reg_Method B.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_15-Red.run-cat.Reg_Method C.tif;Regulating/maintenance;Reduce runoff from agroecosystems;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_16-Key.spe-cat.Reg_Method A.tif;Regulating/maintenance;Keystone species;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_16-Key.spe-cat.Reg_Method B.tif;Regulating/maintenance;Keystone species;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_16-Key.spe-cat.Reg_Method C.tif;Regulating/maintenance;Keystone species;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_17-Red.lan-cat.Reg_Method A.tif;Regulating/maintenance;Reduce landslide;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_17-Red.lan-cat.Reg_Method B.tif;Regulating/maintenance;Reduce landslide;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_17-Red.lan-cat.Reg_Method C.tif;Regulating/maintenance;Reduce landslide;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_18-Tot-cat.Reg_Method A.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_18-Tot-cat.Reg_Method B.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_18-Tot-cat.Reg_Method C.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_21-Ico.spe-cat.NonM_Method A.tif;Non-material;Iconic species;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_21-Ico.spe-cat.NonM_Method B.tif;Non-material;Iconic species;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_21-Ico.spe-cat.NonM_Method C.tif;Non-material;Iconic species;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_22-Sci.int-cat.NonM_Method A.tif;Non-material;Scientific interest;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_22-Sci.int-cat.NonM_Method B.tif;Non-material;Scientific interest;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_22-Sci.int-cat.NonM_Method C.tif;Non-material;Scientific interest;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_23-Lin.end-cat.NonM_Method A.tif;Non-material;Linked with an endangered habitat;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_23-Lin.end-cat.NonM_Method B.tif;Non-material;Linked with an endangered habitat;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_23-Lin.end-cat.NonM_Method C.tif;Non-material;Linked with an endangered habitat;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_24-Tot-cat.NonM_Method A.tif;Non-material;Total Non-material services;RCP 4.5 (2070-2099);Method 'NCP-BIN'
